Code,Coordinates,Name,Type
LLTN,32° 18' 31" N 34° 58' 42" E,מנחת תנובות,ARP
LLEV,32° 15' 50" N 34° 57' 06" E,מנחת עין ורד,ARP
LLOR,31° 44' 46" N 34° 43' 33" E,מנחת אורות,ARP
LLUR,31° 16' 17" N 34° 32' 15" E,מנחת אורים,ARP
LLHF,32° 32' 09" N 35° 26' 08" E,מנחת אליעז,ARP
LLAK,31° 39' 19" N 34° 36' 36" E,מנחת אשקלון,ARP
LLBE,32° 19' 16" N 34° 58' 41" E,מנחת בארותיים,ARP
LLBR,31° 24' 46" N 34° 29' 28" E,מנחת בארי,ARP
LLBM,31° 47' 32" N 35° 03' 03" E,מנחת בית מאיר,ARP
LLBZ,33° 04' 16" N 35° 07' 27" E,מנחת בצת,ARP
LLGS,33° 12' 38" N 35° 37' 11" E,מנחת הגושרים,ARP
LLDM,31° 03' 37" N 35° 00' 42" E,מנחת דימונה,ARP
LLDT,33° 01' 17" N 35° 27' 57" E,מנחת דלתון,ARP
LLZO,31° 08' 56" N 35° 22' 36" E,מנחת זוהר,ARP
LLHM,32° 14' 17" N 34° 52' 47" E,מנחת הדרים,ARP
LLHV,31° 25' 39" N 35° 18' 20" E,מנחת חבר,ARP
LLHU,33° 06' 52" N 35° 34' 53" E,מנחת החולה,ARP
LLHL,31° 07' 25" N 34° 22' 41" E,מנחת חולות חלוצה,ARP
LLCZ,30° 45' 24" N 35° 16' 32" E,מנחת חצבה,ARP
LLTS,31° 47' 25" N 34° 53' 58" E,מנחת טל שחר,ARP
LLJO,32° 56' 02" N 35° 44' 53" E,מנחת יונתן,ARP
LLYR,30° 59' 28" N 34° 56' 49" E,מנחת ירוחם,ARP
LLYE,31° 14' 13" N 34° 23' 09" E,מנחת ישע,ARP
LLKU,30° 18' 22" N 35° 08' 09" E,מנחת כושי 101,ARP
LLLA,31° 21' 43" N 34° 52' 35" E,מנחת להב,ARP
LLMD,32° 43' 33" N 34° 57' 03" E,מנחת מגדים,ARP
LLMS,30° 24' 35" N 34° 54' 56" E,מנחת מיישר,ARP
LLMK,32° 56' 17" N 35° 09' 27" E,מנחת מכר,ARP
LLMR,30° 39' 21" N 34° 48' 25" E,מנחת מצפה רמון,ARP
LLNK,30° 56' 42" N 35° 23' 17" E,מנחת נאות הככר,ARP
LLNM,31° 28' 35" N 34° 37' 35" E,מנחת ניר משה,ARP
LLNE,32° 36' 15" N 35° 23' 34" E,מנחת נעורה,ARP
LLNN,31° 53' 03" N 34° 53' 12" E,מנחת נען,ARP
LLSG,31° 40' 34" N 34° 47' 03" E,מנחת סגולה,ARP
LLSA,33° 01' 36" N 35° 07' 07" E,מנחת סער,ARP
LLEA,32° 37' 31" N 34° 56' 35" E,מנחת עין אילה,ARP
LLEG,31° 24' 51" N 35° 22' 47" E,מנחת עין גדי,ARP
LLFR,30° 22' 10" N 35° 09' 28" E,מנחת פארן,ARP
LLPG,31° 37' 37" N 34° 45' 41" E,מנחת פלוגות,ARP
LLZM,30° 32' 60" N 35° 11' 20" E,מנחת צופר מואה,ARP
LLZI,30° 16' 30" N 35° 02' 49" E,מנחת ציחור,ARP
LLCA,32° 54' 22" N 35° 11' 22" E,מנחת ציקלון,ARP
LLKD,31° 41' 57" N 34° 46' 14" E,מנחת קדמה,ARP
LLKR,31° 49' 14" N 34° 48' 02" E,מנחת קידרון,ARP
LLKA,30° 17' 26" N 35° 00' 03" E,מנחת קצאא,ARP
LLRE,31° 47' 01" N 34° 50' 18" E,מנחת רבדים,ARP
LLRV,31° 02' 28" N 34° 42' 37" E,מנחת רביבים,ARP
LLRU,31° 27' 45" N 34° 43' 15" E,מנחת רוחמה,ARP
LLRO,32° 13' 34" N 34° 50' 57" E,מנחת רונית,ARP
LLSH,29° 57' 49" N 34° 51' 32" E,שדה אברהם,ARP
LLSB,30° 51' 29" N 34° 48' 10" E,מנחת שדה בוקר,ARP
LLSO,32° 56' 41" N 35° 06' 15" E,מנחת שומרת,ARP
LLSK,31° 18' 38" N 34° 54' 00" E,מנחת שוקת,ARP
LLSI,30° 09' 38" N 35° 01' 10" E,מנחת שיטים,ARP
LLSL,31° 52' 35" N 34° 46' 36" E,מנחת שילר,ARP
LLTV,32° 41' 38" N 35° 26' 26" E,מנחת תבור,ARP
LLTA,32° 39' 40" N 35° 18' 18" E,מנחת תל עדשים,ARP
