Code,Coordinates,Name,Type
IANES,31° 55' 13" N 34° 47' 40" E,"א""ת-נס ציונה",NCRP
EVLYM,32° 49' 26" N 35° 09' 05" E,אבליים,NCRP
OHLIM,31° 11' 28" N 34° 48' 17" E,אוהלים,NCRP
OLGA,32° 25' 53" N 34° 51' 57" E,אולגה,NCRP
OFKIM,31° 19' 20" N 34° 37' 08" E,אופקים,NCRP
RAKV,32° 30' 29" N 34° 55' 48" E,אור-עקיבא,NCRP
URIMM,31° 18' 28" N 34° 31' 47" E,אורים,CRP
AHIUD,32° 54' 43" N 35° 10' 52" E,אחיהוד,NCRP
AYLON,31° 52' 18" N 34° 56' 37" E,איילון,NCRP
EILAT,29° 33' 30" N 34° 57' 32" E,אילת,NCRP
IKKEA,31° 57' 05" N 34° 46' 13" E,איקאה,NCRP
ALLON,32° 02' 29" N 35° 22' 00" E,אלון,NCRP
ELYKM,32° 38' 10" N 35° 03' 51" E,אליקים,NCRP
ALMOG,31° 47' 23" N 35° 27' 23" E,אלמוג,NCRP
LLSF,32° 57' 07" N 35° 07' 08" E,אסיף,ARP
ARGMN,32° 10' 23" N 35° 31' 57" E,ארגמן,NCRP
ESHEL,31° 19' 49" N 34° 41' 54" E,אשל-הנשיא,NCRP
ESTOL,31° 46' 46" N 35° 00' 41" E,אשתאול,CRP
BRORA,29° 42' 29" N 34° 59' 50" E,באר-אורה,NCRP
BMNUH,30° 18' 12" N 35° 08' 03" E,באר-מנוחה,NCRP
GOVRN,31° 36' 22" N 34° 53' 34" E,בית-גוברין,NCRP
BOVED,31° 55' 13" N 34° 46' 12" E,בית-עובד,CRP
BKAMA,31° 26' 30" N 34° 45' 56" E,בית-קמה,CRP
BSEMS,31° 45' 17" N 34° 58' 53" E,בית-שמש,NCRP
BOREN,32° 42' 52" N 34° 58' 15" E,בית אורן,NCRP
LLBG,32° 00' 34" N 34° 53' 08" E,בן-גוריון,ARP
BNTAL,33° 09' 03" N 35° 47' 15" E,בנטל,NCRP
GALIM,32° 50' 28" N 34° 58' 52" E,בת-גלים,CRP
BTSLM,32° 35' 52" N 35° 00' 14" E,בת-שלמה,NCRP
LLGV,31° 13' 40" N 34° 27' 37" E,גבולות,ARP
GILAM,32° 49' 17" N 35° 07' 57" E,גילעם,CRP
GILAT,31° 20' 14" N 34° 39' 11" E,גילת,NCRP
GSHML,32° 26' 51" N 34° 57' 22" E,גן-שמואל,NCRP
GEFEN,31° 44' 35" N 34° 52' 13" E,גפן,NCRP
DORS,32° 36' 28" N 34° 54' 38" E,דור,NCRP
DIMON,31° 04' 04" N 35° 00' 21" E,דימונה,NCRP
DALIA,32° 35' 49" N 35° 05' 00" E,דליה,NCRP
HAONN,32° 43' 40" N 35° 37' 34" E,האון,NCRP
LLBO,32° 39' 00" N 34° 55' 58" E,הבונים,ARP
HGSRM,33° 13' 25" N 35° 37' 52" E,הגושרים,NCRP
HOTRM,32° 45' 14" N 34° 56' 13" E,החותרים,NCRP
MOVIL,32° 45' 33" N 35° 14' 00" E,המוביל,CRP
HRGVS,30° 37' 22" N 34° 57' 00" E,הר-גבס,NCRP
HOMMA,31° 43' 52" N 35° 13' 11" E,הר-חומה,NCRP
LLHZ,32° 10' 46" N 34° 50' 04" E,הרצליה,ARP
VNGT,32° 15' 20" N 34° 49' 01" E,וינגייט,NCRP
ZHRYA,31° 41' 59" N 34° 56' 42" E,זכריה,NCRP
OVDAT,30° 48' 10" N 34° 47' 36" E,חורבות-עבדת,NCRP
HTIVA,31° 15' 40" N 34° 49' 56" E,חטיבת הנגב,NCRP
LLHA,32° 48' 30" N 35° 02' 34" E,חיפה,ARP
HAZVA,30° 46' 26" N 35° 14' 11" E,חצבה,NCRP
LLHS,31° 45' 28" N 34° 43' 23" E,חצור,ARP
LLHB,31° 14' 36" N 34° 39' 18" E,חצרים,ARP
TUBAS,32° 21' 00" N 35° 23' 00" E,טובאס,NCRP
TIRAT,32° 25' 28" N 35° 31' 36" E,טירת-צבי,NCRP
TLLIM,30° 59' 26" N 34° 45' 44" E,טללים,NCRP
KENED,31° 44' 59" N 35° 08' 05" E,יד-קנדי,NCRP
YAHEL,30° 04' 56" N 35° 08' 00" E,יהל,NCRP
YOTVT,29° 54' 03" N 35° 04' 02" E,יטבתה,NCRP
YRUHM,30° 59' 23" N 34° 54' 39" E,ירוחם,NCRP
YARHV,32° 09' 01" N 34° 58' 14" E,ירחיב,NCRP
KUVSH,31° 15' 52" N 34° 45' 49" E,כובשים,NCRP
SHAHR,31° 57' 27" N 35° 20' 13" E,כוכב-השחר,NCRP
KNFHA,30° 43' 38" N 34° 46' 31" E,כלא-נפחא,NCRP
DUMIM,31° 48' 14" N 35° 19' 29" E,כפר-אדומים,NCRP
HASID,32° 44' 48" N 35° 04' 40" E,כפר-חסידם,NCRP
NAHEM,31° 44' 43" N 34° 49' 20" E,כפר-מנחם,CRP
TAVOR,32° 41' 25" N 35° 25' 12" E,כפר-תבור,NCRP
KANA,32° 45' 33" N 35° 20' 44" E,כפר כנא,NCRP
DESHE,32° 52' 12" N 35° 31' 57" E,כרי-דשא,NCRP
CNHRL,32° 38' 26" N 34° 58' 44" E,"כרם-מהר""ל",NCRP
BSHAN,33° 08' 46" N 35° 38' 17" E,להבות-הבשן,NCRP
LTRUN,31° 50' 19" N 34° 59' 12" E,לטרון,NCRP
LAPID,31° 54' 59" N 35° 01' 37" E,לפיד,NCRP
NSHRM,31° 54' 33" N 34° 53' 30" E,מ. נשרים,NCRP
HORON,31° 51' 01" N 35° 01' 45" E,מבוא-חורון,NCRP
MIGDL,32° 50' 11" N 35° 30' 34" E,מגדל,NCRP
LLMG,32° 35' 50" N 35° 14' 05" E,מגידו,ARP
MHOLA,32° 22' 00" N 35° 31' 00" E,מחולה,NCRP
MEYAL,32° 12' 27" N 34° 57' 46" E,מחלף-אייל,CRP
DAROM,32° 47' 46" N 34° 56' 36" E,מחלף-דרום,CRP
MACHZ,31° 30' 42" N 34° 46' 56" E,מחלף-מאחז,NCRP
MNSZN,31° 56' 20" N 34° 48' 55" E,מחלף-נס ציונה,NCRP
MKGAT,31° 35' 56" N 34° 48' 44" E,מחלף-קריית גת,CRP
MCZVA,31° 58' 24" N 35° 01' 57" E,מחצבה,NCRP
MYTAR,31° 18' 53" N 34° 56' 17" E,מיתר,NCRP
MACH,32° 56' 15" N 35° 09' 22" E,מכר,NCRP
ZUKIM,31° 42' 58" N 35° 26' 59" E,מעיינות-צוקים,CRP
MESAR,30° 30' 06" N 34° 56' 37" E,מעלה-מישר,NCRP
LLMZ,31° 19' 45" N 35° 23' 18" E,מצדה,ARP
SHALM,31° 33' 31" N 35° 24' 09" E,מצפה-שלם,NCRP
MRHVA,32° 35' 49" N 35° 18' 48" E,מרחביה,NCRP
MEHOL,31° 57' 39" N 34° 45' 51" E,משולש-חולות,NCRP
MINGV,31° 22' 08" N 34° 42' 46" E,משמר-הנגב,NCRP
LLNV,31° 12' 48" N 35° 01' 06" E,נבטים,ARP
LLNGV,31° 11' 42" N 35° 02' 18" E,נגב,ARP
EITN,32° 30' 23" N 35° 31' 07" E,נווה איתן,NCRP
ZOHAR,31° 09' 03" N 35° 22' 21" E,נווה-זוהר,NCRP
NBSOR,31° 16' 28" N 34° 29' 35" E,נחל-בשור,CRP
NAHLA,31° 39' 23" N 34° 48' 33" E,נחלה,NCRP
NTAIM,31° 56' 37" N 34° 46' 51" E,נטעים,CRP
NITZ,31° 43' 27" N 34° 34' 14" E,ניצן,CRP
NIZNM,31° 42' 50" N 34° 37' 40" E,ניצנים,NCRP
ELYAU,32° 11' 32" N 34° 57' 19" E,ניר-אליהן,NCRP
NIRYA,32° 33' 58" N 35° 14' 56" E,ניר-יפה,NCRP
NADD,31° 48' 55" N 34° 37' 53" E,נמל אשדוד,NCRP
NAAMA,31° 54' 31" N 35° 27' 45" E,נעמה,NCRP
NAFCH,33° 03' 26" N 35° 44' 05" E,נפח,NCRP
SIRNI,31° 55' 41" N 34° 49' 48" E,נצר-סירני,NCRP
SUPER,31° 58' 35" N 34° 44' 30" E,סופרלנד,NCRP
SECHR,31° 05' 24" N 34° 56' 08" E,סכר,NCRP
SAMAR,29° 49' 53" N 35° 01' 43" E,סמר,NCRP
LLOV,29° 56' 24" N 34° 56' 18" E,עובדה,ARP
OLESH,32° 20' 00" N 35° 00' 00" E,עולש,NCRP
ATARA,32° 20' 00" N 35° 10' 00" E,עטארה,NCRP
ENGDI,31° 27' 59" N 35° 23' 45" E,עין-גדי,NCRP
ZETIM,32° 59' 19" N 35° 28' 58" E,עין-זיתים,CRP
ENHRD,32° 33' 16" N 35° 22' 56" E,עין-חרוד,NCRP
LLEY,30° 37' 18" N 35° 12' 11" E,עין-יהב,ARP
LLES,32° 26' 29" N 35° 00' 12" E,עין-שמר,ARP
ENGEV,32° 46' 58" N 35° 38' 24" E,עין גב,NCRP
EIRON,32° 28' 51" N 35° 01' 28" E,עירון,NCRP
AAKKO,32° 55' 07" N 35° 05' 47" E,עכו,CRP
AMIOZ,31° 15' 24" N 34° 24' 10" E,עמיעוז,NCRP
ETZEM,31° 05' 24" N 34° 59' 35" E,עצם,NCRP
LLAR,31° 13' 47" N 35° 11' 23" E,ערד,ARP
ARRAA,32° 29' 58" N 35° 04' 01" E,ערה,NCRP
ATTIL,32° 21' 30" N 35° 03' 35" E,עתיל,NCRP
LLFK,32° 47' 07" N 35° 43' 02" E,פיק,ARP
PELG,32° 19' 48" N 34° 50' 14" E,פלג,NCRP
LLPL,31° 53' 54" N 34° 41' 24" E,פלמחים,ARP
PRHNA,32° 28' 28" N 34° 58' 20" E,פרדס-חנה,NCRP
ZASHD,31° 49' 34" N 34° 42' 30" E,צ.אשדוד,CRP
ZELIM,31° 12' 44" N 34° 31' 51" E,צאלים,CRP
TZUBA,31° 46' 46" N 35° 07' 14" E,צובה,NCRP
AVITL,33° 05' 16" N 35° 47' 09" E,צומת-אביטל,NCRP
ZADAM,32° 07' 33" N 35° 30' 35" E,צומת-אדם,NCRP
ZBTMS,33° 00' 40" N 35° 39' 01" E,צומת-בית המכס,CRP
ZBTZD,32° 54' 14" N 35° 37' 59" E,צומת-בית צידה,CRP
ZBRCH,31° 39' 55" N 34° 36' 22" E,צומת-ברכיה,CRP
GOMME,33° 10' 09" N 35° 34' 09" E,צומת-גומא,NCRP
NEGEV,31° 03' 58" N 34° 50' 17" E,צומת-הנגב,CRP
ARAVA,30° 59' 22" N 35° 18' 33" E,צומת-הערבה,CRP
RUHOT,30° 39' 36" N 34° 48' 32" E,צומת-הרוחות,NCRP
TZHTR,31° 13' 08" N 35° 14' 54" E,צומת-חתרורים,CRP
ZKOCH,33° 07' 31" N 35° 34' 13" E,"צומת-כ""ח",NCRP
ZLHAV,31° 22' 21" N 34° 47' 36" E,צומת-להבים,NCRP
ZMGID,32° 34' 22" N 35° 11' 28" E,צומת-מגידו,CRP
ZMSDA,33° 13' 59" N 35° 45' 06" E,צומת-מסעדה,NCRP
ZNYMN,32° 10' 20" N 34° 57' 31" E,צומת-נווה ימין,NCRP
HADRA,32° 27' 53" N 34° 54' 44" E,צומת-נחל חדרה,CRP
NCSHN,31° 48' 56" N 34° 55' 01" E,צומת-נחשון,NCRP
ZAMID,32° 54' 48" N 35° 32' 32" E,צומת-עמיעד,CRP
ARRAD,31° 15' 16" N 35° 12' 35" E,צומת-ערד,NCRP
FRDIS,32° 35' 31" N 34° 56' 47" E,צומת-פורדיס,NCRP
ZPLGT,31° 37' 32" N 34° 45' 24" E,צומת-פלוגות,CRP
FAZEL,32° 02' 53" N 35° 27' 47" E,צומת-פצאל,CRP
ZZHOR,30° 16' 36" N 35° 01' 12" E,צומת-ציחור,CRP
ZKADR,32° 54' 34" N 35° 28' 26" E,צומת-קדרים,NCRP
KTORA,29° 59' 22" N 35° 04' 35" E,צומת-קטורה,CRP
SOKET,31° 18' 27" N 34° 54' 04" E,צומת-שוקת,NCRP
ZSARA,31° 13' 30" N 34° 49' 40" E,צומת-שרה,NCRP
ZGORAL,31° 18' 46" N 34° 47' 16" E,צומת גורל,CRP
TALEL,32° 55' 55" N 35° 09' 39" E,צומת טל אל,NCRP
YASIF,32° 54' 45" N 35° 09' 21" E,צומת יאסיף,NCRP
ZOFAR,30° 33' 35" N 35° 11' 12" E,צופר,CRP
ZEMAH,32° 42' 16" N 35° 35' 09" E,צמח,NCRP
NCITY,31° 17' 15" N 34° 47' 29" E,צפון העיר,NCRP
KEDEM,31° 15' 46" N 34° 39' 01" E,קדם,ARP
LLKZ,30° 51' 32" N 34° 26' 37" E,קציעות,ARP
LLKS,33° 12' 42" N 35° 35' 47" E,קרית-שמונה,ARP
LLIB,32° 58' 50" N 35° 34' 15" E,ראש-פינה,ARP
RISHN,31° 58' 03" N 34° 45' 13" E,ראשון-לציון,ARP
RSNIM,31° 56' 58" N 34° 48' 07" E,ראשונים,CRP
LLRM,30° 46' 30" N 34° 40' 00" E,רצון,ARP
LLRD,32° 40' 00" N 35° 11' 00" E,רמת-דוד,ARP
HOVAV,31° 08' 08" N 34° 48' 18" E,רמת-חובב,NCRP
REUTE,31° 52' 42" N 35° 01' 28" E,רעות,CRP
SELZR,33° 02' 45" N 35° 34' 16" E,שדה-אליעזר,CRP
BOKER,30° 52' 30" N 34° 47' 09" E,שדה-בוקר,NCRP
SYAM,32° 29' 49" N 34° 53' 06" E,שדות ים,NCRP
SOREK,31° 56' 31" N 34° 45' 07" E,שורק,CRP
SORES,31° 47' 59" N 35° 04' 34" E,שורש,CRP
SIZFN,30° 02' 51" N 35° 00' 52" E,שיזפון,NCRP
SITIM,30° 10' 33" N 35° 00' 52" E,שיטים,NCRP
SMRAT,32° 57' 06" N 35° 05' 24" E,שמרת,NCRP
SNNIR,33° 14' 18" N 35° 40' 33" E,שניר,NCRP
SHLVM,31° 52' 24" N 34° 59' 01" E,שעלבים,NCRP
SHARG,31° 49' 11" N 35° 01' 16" E,שער-הגיא,NCRP
SSOMR,32° 06' 23" N 34° 59' 46" E,שער-שומרון,NCRP
SFAM,32° 13' 06" N 34° 48' 34" E,שפיים,CRP
SHEF,31° 56' 24" N 34° 42' 22" E,שפך,NCRP
LLBS,31° 17' 13" N 34° 43' 22" E,תימן,ARP
LLEK,31° 50' 12" N 34° 49' 06" E,תל-נוף,ARP
TARAD,31° 16' 39" N 35° 07' 32" E,תל-ערד,NCRP
TYON,32° 00' 17" N 34° 43' 38" E,תל יונה,CRP

BROR,31° 33' 43" N 34° 38' 31" E,ברור-חיל,NCRP

LLTN,32° 18' 31" N 34° 58' 42" E,מנחת תנובות,ARP
LLEV,32° 15' 50" N 34° 57' 06" E,מנחת עין ורד,ARP
LLMG,32° 35' 50" N 35° 14' 05" E,מגידו,ARP
LLMZ,31° 19' 45" N 35° 23' 18" E,מצדה,ARP
LLYO,29° 54' 04" N 35° 04' 02" E,יטבתה,ARP
LLET,29° 33' 30" N 34° 57' 32" E,אילת,ARP
LLOR,31° 44' 46" N 34° 43' 33" E,מנחת אורות,ARP
LLUR,31° 16' 17" N 34° 32' 15" E,מנחת אורים,ARP
LLHF,32° 32' 09" N 35° 26' 08" E,מנחת אליעז,ARP
LLAK,31° 39' 19" N 34° 36' 36" E,מנחת אשקלון,ARP
LLBE,32° 19' 16" N 34° 58' 41" E,מנחת בארותיים,ARP
LLBR,31° 24' 46" N 34° 29' 28" E,מנחת בארי,ARP
LLBM,31° 47' 32" N 35° 03' 03" E,מנחת בית מאיר,ARP
LLBZ,33° 04' 16" N 35° 07' 27" E,מנחת בצת,ARP
LLGS,33° 12' 38" N 35° 37' 11" E,מנחת הגושרים,ARP
LLDM,31° 03' 37" N 35° 00' 42" E,מנחת דימונה,ARP
LLDT,33° 01' 17" N 35° 27' 57" E,מנחת דלתון,ARP
LLZO,31° 08' 56" N 35° 22' 36" E,מנחת זוהר,ARP
LLHM,32° 14' 17" N 34° 52' 47" E,מנחת הדרים,ARP
LLHV,31° 25' 39" N 35° 18' 20" E,מנחת חבר,ARP
LLHU,33° 06' 52" N 35° 34' 53" E,מנחת החולה,ARP
LLHL,31° 07' 25" N 34° 22' 41" E,מנחת חולות חלוצה,ARP
LLCZ,30° 45' 24" N 35° 16' 32" E,מנחת חצבה,ARP
LLTS,31° 47' 25" N 34° 53' 58" E,מנחת טל שחר,ARP
LLJO,32° 56' 02" N 35° 44' 53" E,מנחת יונתן,ARP
LLYR,30° 59' 28" N 34° 56' 49" E,מנחת ירוחם,ARP
LLYE,31° 14' 13" N 34° 23' 09" E,מנחת ישע,ARP
LLKU,30° 18' 22" N 35° 08' 09" E,מנחת כושי 101,ARP
LLLA,31° 21' 43" N 34° 52' 35" E,מנחת להב,ARP
LLMD,32° 43' 33" N 34° 57' 03" E,מנחת מגדים,ARP
LLMS,30° 24' 35" N 34° 54' 56" E,מנחת מיישר,ARP
LLMK,32° 56' 17" N 35° 09' 27" E,מנחת מכר,ARP
LLMR,30° 39' 21" N 34° 48' 25" E,מנחת מצפה רמון,ARP
LLNK,30° 56' 42" N 35° 23' 17" E,מנחת נאות הככר,ARP
LLNM,31° 28' 35" N 34° 37' 35" E,מנחת ניר משה,ARP
LLNE,32° 36' 15" N 35° 23' 34" E,מנחת נעורה,ARP
LLNN,31° 53' 03" N 34° 53' 12" E,מנחת נען,ARP
LLSG,31° 40' 34" N 34° 47' 03" E,מנחת סגולה,ARP
LLSA,33° 01' 36" N 35° 07' 07" E,מנחת סער,ARP
LLEA,32° 37' 31" N 34° 56' 35" E,מנחת עין אילה,ARP
LLEG,31° 24' 51" N 35° 22' 47" E,מנחת עין גדי,ARP
LLFR,30° 22' 10" N 35° 09' 28" E,מנחת פארן,ARP
LLPG,31° 37' 37" N 34° 45' 41" E,מנחת פלוגות,ARP
LLZM,30° 32' 60" N 35° 11' 20" E,מנחת צופר מואה,ARP
LLZI,30° 16' 30" N 35° 02' 49" E,מנחת ציחור,ARP
LLCA,32° 54' 22" N 35° 11' 22" E,מנחת ציקלון,ARP
LLKD,31° 41' 57" N 34° 46' 14" E,מנחת קדמה,ARP
LLKR,31° 49' 14" N 34° 48' 02" E,מנחת קידרון,ARP
LLKA,30° 17' 26" N 35° 00' 03" E,מנחת קצאא,ARP
LLRE,31° 47' 01" N 34° 50' 18" E,מנחת רבדים,ARP
LLRV,31° 02' 28" N 34° 42' 37" E,מנחת רביבים,ARP
LLRU,31° 27' 45" N 34° 43' 15" E,מנחת רוחמה,ARP
LLRO,32° 13' 34" N 34° 50' 57" E,מנחת רונית,ARP
LLSH,29° 57' 49" N 34° 51' 32" E,שדה אברהם,ARP
LLSB,30° 51' 29" N 34° 48' 10" E,מנחת שדה בוקר,ARP
LLSO,32° 56' 41" N 35° 06' 15" E,מנחת שומרת,ARP
LLSK,31° 18' 38" N 34° 54' 00" E,מנחת שוקת,ARP
LLSI,30° 09' 38" N 35° 01' 10" E,מנחת שיטים,ARP
LLSL,31° 52' 35" N 34° 46' 36" E,מנחת שילר,ARP
LLTV,32° 41' 38" N 35° 26' 26" E,מנחת תבור,ARP
LLTA,32° 39' 40" N 35° 18' 18" E,מנחת תל עדשים,ARP
