EVLYM,32° 49' 26" N 35° 09' 05" E,אבליי דרישה
AVNON,30° 58' 17" N 34° 58' 13" E,אבנו דרישה
OHLIM,31° 11' 28" N 34° 48' 17" E,אוהלי דרישה
OFKIM,31° 19' 20" N 34° 37' 08" E,אופקי דרישה
ORAKV,32° 30' 29" N 34° 55' 48" E,אור-עקיבא דרישה
URIMM,31° 18' 28" N 34° 31' 47" E,אורי דרישה
AHIUD,32° 54' 43" N 35° 10' 52" E,אחיהוד דרישה
AYLON,31° 52' 18" N 34° 56' 37" E,אילו דרישה
LLET,29° 33' 30" N 34° 57' 32" E,ARP אילת
IKKEA,31° 57' 05" N 34° 46' 13" E,איקיאה דרישה
ALLON,32° 02' 29" N 35° 22' 00" E,אלו דרישה
ELYKM,32° 38' 10" N 35° 03' 51" E,אליקי דרישה
ALMOG,31° 47' 23" N 35° 27' 23" E,אלמוג דרישה
ARGMN,32° 10' 23" N 35° 31' 57" E,ארגמ דרישה
ESHEL,31° 19' 49" N 34° 41' 54" E,אשל-הנשיא דרישה
ESTOL,31° 46' 46" N 35° 00' 41" E,אשתאול דרישה
IANES,31° 55' 13" N 34° 47' 40" E,א"ת-נ	 ציונה דרישה
BRORA,29° 42' 29" N 34° 59' 50" E,באר-אורה דרישה
BMNUH,30° 18' 12" N 35° 08' 03" E,באר-מנוחה דרישה
GOVRN,31° 36' 22" N 34° 53' 34" E,בית-גוברי דרישה
BOVED,31° 55' 13" N 34° 46' 12" E,בית-עובד דרישה
BKAMA,31° 26' 30" N 34° 45' 56" E,בית-קמה דרישה
BSEMS,31° 45' 17" N 34° 58' 53" E,בית-שמש דרישה
LLBG,32° 00' 34" N 34° 53' 08" E,ARP ב-גוריו
BNTAL,33° 09' 03" N 35° 47' 15" E,בנטל דרישה
GALIM,32° 50' 28" N 34° 58' 52" E,בת-גלי דרישה
BTSLM,32° 35' 52" N 35° 00' 14" E,בת-שלמה דרישה
LLGV,31° 13' 40" N 34° 27' 37" E,ARP גבולות
GBRNA,30° 39' 04" N 34° 31' 00" E,גבעת-ברנע דרישה
GVLHV,31° 18' 39" N 34° 47' 15" E,גבעת-להב דרישה
GVARM,31° 35' 36" N 34° 36' 37" E,גברע דרישה
GORAL,31° 19' 52" N 34° 47' 12" E,גורל דרישה
GILAM,32° 49' 17" N 35° 07' 57" E,גילע חובה
GILAT,31° 20' 14" N 34° 39' 11" E,גילת דרישה
GSHML,32° 26' 51" N 34° 57' 22" E,ג-שמואל דרישה
GEFEN,31° 44' 35" N 34° 52' 13" E,גפ דרישה
GSIRI,31° 07' 18" N 34° 38' 27" E,גשר-אירי דרישה
DUGIT,32° 51' 09" N 35° 03' 06" E,דוגית דרישה
DIMON,31° 04' 04" N 35° 00' 21" E,דימונה דרישה
DALIA,32° 35' 49" N 35° 05' 00" E,דליה דרישה
HAONN,32° 43' 40" N 35° 37' 34" E,האו דרישה
LLBO,32° 39' 00" N 34° 55' 58" E,ARP הבוני
HGSRM,33° 13' 25" N 35° 37' 52" E,הגושרי דרישה
MOVIL,32° 45' 33" N 35° 14' 00" E,המוביל דרישה
HRGVS,30° 37' 22" N 34° 57' 00" E,הר-גב	 דרישה
HOMMA,31° 43' 52" N 35° 13' 11" E,הר-חומה דרישה
LLHZ,32° 10' 52" N 34° 50' 00" E,ARP הרצליה
ZHRYA,31° 41' 59" N 34° 56' 42" E,זכריה דרישה
HOLOT,30° 59' 39" N 34° 21' 37" E,חולות דרישה
OVDAT,30° 48' 10" N 34° 47' 36" E,חורבות-עבדת דרישה
LLHA,32° 48' 30" N 35° 02' 34" E,ARP חיפה
HAZVA,30° 46' 24" N 35° 14' 11" E,חצבה דרישה
LLHS,31° 45' 28" N 34° 43' 23" E,ARP חצור
LLHB,31° 14' 36" N 34° 39' 18" E,ARP חצרי
TUBAS,32° 21' 00" N 35° 23' 00" E,טובא	 דרישה
TIRAT,32° 25' 28" N 35° 31' 36" E,טירת-צבי דרישה
TLLIM,30° 59' 26" N 34° 45' 44" E,טללי דרישה
KENED,31° 44' 59" N 35° 08' 05" E,יד-קנדי דרישה
YAHEL,30° 04' 56" N 35° 08' 00" E,יהל דרישה
LLYO,29° 54' 03" N 35° 04' 02" E,ARP יטבתה
YRUHM,30° 59' 23" N 34° 54' 39" E,ירוח דרישה
YARHV,32° 09' 01" N 34° 58' 14" E,ירחיב דרישה
KOYAR,32° 35' 51" N 35° 32' 37" E,כוכב-הירד דרישה
SHAHR,31° 57' 27" N 35° 20' 13" E,כוכב-השחר דרישה
KNFHA,30° 43' 38" N 34° 46' 31" E,כלא-נפחא דרישה
DUMIM,31° 48' 14" N 35° 19' 29" E,כפר-אדומי דרישה
HASID,32° 44' 48" N 35° 04' 40" E,כפר-ח	ידי דרישה
NAHEM,31° 44' 43" N 34° 49' 20" E,כפר-מנח דרישה
TAVOR,32° 41' 25" N 35° 25' 12" E,כפר-תבור דרישה
DESHE,32° 52' 12" N 35° 31' 57" E,כרי-דשא דרישה
CNHRL,32° 38' 26" N 34° 58' 44" E,כר-מהר"ל דרישה
KRMIL,32° 55' 27" N 35° 17' 59" E,כרמיאל דרישה
BSHAN,33° 08' 46" N 35° 38' 17" E,להבות-הבש דרישה
LTRUN,31° 50' 19" N 34° 59' 12" E,לטרו דרישה
LAPID,31° 54' 59" N 35° 01' 37" E,לפיד דרישה
HORON,31° 51' 01" N 35° 01' 45" E,מבוא-חורו דרישה
MIGDL,32° 50' 11" N 35° 30' 34" E,מגדל דרישה
LLMG,32° 35' 50" N 35° 14' 05" E,ARP מגידו
MHOLA,32° 22' 00" N 35° 31' 00" E,מחולה דרישה
MEYAL,32° 12' 27" N 34° 57' 46" E,מחל-אייל דרישה
ZGLNI,32° 46' 29" N 35° 24' 26" E,מחל-גולני דרישה
DAROM,32° 47' 46" N 34° 56' 36" E,מחל-דרו חובה
MACHZ,31° 30' 42" N 34° 46' 56" E,מחל-מאחז דרישה
MNSZN,31° 56' 20" N 34° 48' 55" E,מחל-נ	 ציונה דרישה
MKGAT,31° 35' 56" N 34° 48' 44" E,מחל-קרית גת חובה
MCZVA,31° 58' 24" N 35° 01' 57" E,מחצבה דרישה
MYTAR,31° 18' 53" N 34° 56' 17" E,מיתר דרישה
MNHMA,32° 39' 20" N 35° 33' 40" E,מנחמיה דרישה
NSHRM,31° 54' 33" N 34° 53' 30" E,מ. נשרי חובה
ZUKIM,31° 42' 58" N 35° 26' 59" E,מעיינות-צוקי חובה
MESAR,30° 30' 06" N 34° 56' 37" E,מעלה-מישר דרישה
LLMZ,31° 19' 45" N 35° 23' 18" E,ARP מצדה
MZDOT,31° 21' 23" N 35° 06' 27" E,מצודות דרישה
SHALM,31° 33' 31" N 35° 24' 09" E,מצפה-של דרישה
MRHVA,32° 35' 49" N 35° 18' 48" E,מרחביה דרישה
MEHOL,31° 57' 39" N 34° 45' 51" E,משולש-חולות דרישה
MINGV,31° 22' 08" N 34° 42' 46" E,משמר-הנגב דרישה
LLNV,31° 11' 42" N 35° 02' 18" E,ARP נגב
ZOHAR,31° 09' 03" N 35° 22' 21" E,נווה-זוהר דרישה
NBSOR,31° 16' 28" N 34° 29' 35" E,נחל-בשור חובה
NNAHS,30° 49' 17" N 34° 54' 55" E,נחל-נחש דרישה
NAHLA,31° 39' 23" N 34° 48' 33" E,נחלה דרישה
NTAIM,31° 56' 37" N 34° 46' 51" E,נטעי חובה
NIZNM,31° 42' 50" N 34° 37' 40" E,ניצני חובה
ELYAU,32° 11' 32" N 34° 57' 19" E,ניר-אליהו דרישה
NIRYA,32° 33' 58" N 35° 14' 56" E,ניר-יפה דרישה
NAAMA,31° 54' 31" N 35° 27' 45" E,נעמה דרישה
NAFCH,33° 03' 26" N 35° 44' 05" E,נפח דרישה
SIRNI,31° 55' 39" N 34° 49' 45" E,נצר	-ירני חובה
NTVOT,31° 25' 45" N 34° 35' 57" E,נתיבות דרישה
SECHR,31° 05' 24" N 34° 56' 08" E,	כר דרישה
SAMAR,29° 49' 53" N 35° 01' 43" E,	מר חובה
SAADD,31° 27' 55" N 34° 32' 01" E,	עד דרישה
LLOV,29° 56' 24" N 34° 56' 18" E,ARP עובדה
OLESH,32° 20' 00" N 35° 00' 00" E,עולש דרישה
ATARA,32° 20' 00" N 35° 10' 00" E,עטארה דרישה
ENGDI,31° 27' 59" N 35° 23' 45" E,עי-גדי דרישה
